song,play_count,title,release,artist_name,song_era
SOKMVHQ12AC3DF5D4D,1,First Degree Apathy,The Light Years,Ressurrection Band,0
SOKMVHS12AAF3B33FD,1,Fish Out Of Water,The New Game,Mudvayne,2005
SOKMVUE12A8AE46BB7,1,Afterglow,The Invisible Band,Travis,0
SOKMWJN12AF729DCA5,4,Step Up To The Microphone,Step Up To The Microphone,Newsboys,1995
SOKMWOF12A8C140726,6,The Day and the Time (featuring Gustavo Cerati),Oral Fixation Vol. 2,Shakira,0
SOKMXEQ12A6D4F6AA8,25,Talk Of The Town,Sing-A-Longs & Lullabies For The Film Curious George,Jack Johnson / Kawika Kahiapo,2005
SOKMXID12A8C13207D,2,Funplex,Funplex,The B-52s,2005
SOKMYKP12A8C13C151,4,The Planets_ Op. 32/Mars_ the Bringer of War,Holst The Planets,Eugene Ormandy,0
SOKMZCF12A6D4F6D99,1,Ayer soñé con Walter,Algo mejor,Fabiana Cantilo,1990
SOKMZEL12A8C134E4F,1,Sing Sing Sing,Bongo Rock,Incredible Bongo Band,2000
SOKMZQL12A58A76B19,2,Believe (Album Version),The Polar Express - Original Motion Picture Soundtrack,Josh Groban,0
SOKMZSR12A58A7957D,6,Where Damage Isn't Already Done,Lesser Matters,The Radio Dept.,2000
SOKMZSR12A6D4FCB44,1,Flash's Theme (Bonus Track),The Distances From Everyone To You EP,Louis XIV,0
SOKMZUI12A8AE49036,5,Too Late,Keep Telling Myself It's Alright,ASHES dIVIDE,2005
SOKNAOF12AF72AC876,1,First Time,Who We Are,Lifehouse,2005
SOKNASJ12A6D4FC78F,7,Mescaline,1200 Micrograms,1200 Micrograms,2000
SOKNAXR12A8C1422BD,1,Ve Gulumse Simdi (Bebegim),Afili Yalnizlik,Emre Aydin,0
SOKNBEL12A8C1441B0,7,Hiroshima (B B B Benny Hit His Head),Way To Normal,Ben Folds,2005
SOKNBWG12A58A7D0C8,37,Prelude 12/21,DECEMBERUNDERGROUND,AFI,2005
SOKNCNR12A6701FDEC,3,I'm A Man,Universal Masters Collection,Bo Diddley,1955
SOKNCXS12AB01867BE,7,Fucked With A Knife,The Bleeding,Cannibal Corpse,1990
SOKNDAI12A6D4FE2B4,1,House of Smoke and Mirrors,Avalanche,Matthew Good,2000
SOKNDBE12AB01843DB,1,Dance Across The Floor,Essential Workout Mix: Disco Remixed Vol. 4,"Jimmy ""Bo"" Horne",1975
SOKNDKQ12A58A795CC,20,Boom (2006 Remastered Album Version),Greatest Hits [The Atlantic Years],P.O.D.,0
SOKNDMY12A8C136C0A,1,Santa Claus Is Coming To Town,A Warren Hill Christmas,Warren Hill,0
SOKNEJA12A8C13FFFD,13,Get It On,Get It On,Spencer & Hill,2005
SOKNFFM12A81C216F3,9,Desde mi cielo,Gaia II,Mago de Oz,2005
SOKNFWB12A6D4F8AA9,4,Lay It Down (2007 Remastered),Tell The World: The Very Best Of Ratt,Ratt,2005
SOKNGCR12A6D4F663E,43,Nutrisco Et Extinguo,In Harmonia Universali,Solefald,2000
SOKNGDI12A58A7CFC3,1,Am I The Only One (Who's Ever Felt This Way),WIDE OPEN SPACES,Dixie Chicks,1995
SOKNGQG12A8C1384EE,1,Omnia Sol Temperat,Kein Blick zurück,In Extremo,2000
SOKNHOY12AC468D6B0,3,Derivation,Tribal Derivations,Beats Antique,2005
SOKNHPO12A8C1435F9,19,Angel,We The People,Flipsyde,2005
SOKNHXV12A8C14065A,1,Switch / Twitch,Puppy,Fluke,2000
SOKNIAR12A8C1382CD,8,Good Old Days,Dragonfly,Ziggy Marley,2000
SOKNIIL12AF72AB2A1,1,Siempre Tuya Desde La Raiz,Celebridades,Paulina Rubio,0
SOKNIJJ12AB0185511,3,We Like To Party,Team Daily,Daily Plannet,0
SOKNIMS12AB0184916,2,Cannibal,A Coin For The Well,Fan Death,2010
SOKNIND12A8C1344F1,1,Microcastle,Microcastle,Deerhunter,2005
SOKNIRT12AB01834AC,13,Two Weeks & Counting...,Moon,Clint Mansell,2005
SOKNKGS12A67AD999B,1,She's My Kind Of Girl,The Albums,Abba,1970
SOKNKJA12A8C13B72F,1,Who Died,Demo Collection,Refused,1995
SOKNKRC12A8C13CEB9,1,Only in New York,Hôtel Costes 8 by Stéphane Pompougnac,Demon Ritchie,2000
SOKNKSF12A8C139CF3,1,The Reeds,The Outer Upper Inner EP,Birds Of Avalon,0
SOKNKVI12A6D4FBE3A,7,The Creed (The Creed Album Version),For Freedom,Avalon,0
SOKNKYH12A8BED7529,3,First Timer,New Moon,Elliott Smith,0
SOKNLRS12A6D4F88C6,2,Start The Commotion,The Antidote,The Wiseguys,1995
SOKNMJE12A67AE0421,1,Kids In America,Everytime We Touch,Cascada,2005
SOKNMLN12A5891DD68,20,Mad As Rabbits [Live In Chicago],Live In Chicago,Panic At The Disco,0
SOKNMXB12AB01855F7,1,Perfect Distillation,Fantastic Hawk,Bottom Of The Hudson,2005
SOKNNMN12A6D4FBE0A,7,White Lies,In Between,Paul Van Dyk Featuring Jessica Sutta,0
SOKNNOL12A8C13C564,13,Romanticótico,Felicidades,Cuentos Borgeanos,2005
SOKNNWB12A6D4F8B8F,3,Maké Manà,Made In Italy,Mau Mau,1990
SOKNOFI12AB0188396,17,I'm But A Wave To...(2004 remix) (Album Version),Focus [Expanded Edition],Cynic,0
SOKNOUH12A8AE47BDC,1,Waiting For Today To Happen,Dizzy Heights,Lightning Seeds,1995
SOKNPDF12A8C142048,6,Coming Clean (Album Version),The Quilt,Gym Class Heroes,2005
SOKNPLI12A6D4F5FC7,4,Can't Lose,With Love And Squalor,We Are Scientists,2005
SOKNPQD12A8C13D1D4,1,KVULI HOLKAM,Mezi Nima,DIVOKEJ BILL,2000
SOKNQBS12A8C13F15D,1,Outside The Trains Don't Run On Time,Nervous Tension,Gang Of Four,1980
SOKNQLQ12A58A7D0E6,5,High Voltage,Heart On,Eagles Of Death Metal,2005
SOKNRHQ12AF72A0AA2,1,Eu Agradeço,Burguesia,Cazuza,1985
SOKNRZI12A8C13D65B,4,Ray Ray,Based on a True Story,Fat Freddy's Drop,2005
SOKNSCH12AB018448B,1,Do Wrong Right,Do Wrong Right,The Devil Makes Three,2005
SOKNSDD12A67ADAC76,7,Knock On Wood   (LP Version),Stax/Volt - The Complete Singles 1959-1968 - Volume 8,Otis Redding & Carla Thomas,0
SOKNSEX12AB0182843,2,Through Struggle,This Is Who We Are,As I Lay Dying,2005
SOKNSJY12A8AE46E32,19,She's So Lovely,Just Great Love Songs,Scouting for Girls,2005
SOKNSSQ12A58A7B427,1,Pull My Heart Away,Everything Is New,Jack Peñate,2005
SOKNTZX12A670209FB,1,Tough Love,Love + Pain,Clor,2005
SOKNUEA12A58A77D85,1,Deep Ocean Vast Sea,Deep,Peter Murphy,1985
SOKNURY12A58A7B8E2,2,Reinventing The Wheel To Run Myself Over (Album Version),Take This To Your Grave,Fall Out Boy,2000
SOKNVEI12A6701E9AC,1,Morning Passages,The Hours,Philip Glass,2000
SOKNVMU12A6D4F7764,1,Lotus Eaters,Do You Like My Tight Sweater?,Moloko,1995
SOKNWHP12A58A7A03E,2,Havoc B,Common Dreads,Enter Shikari,2005
SOKNWRZ12A8C13BF62,31,Natural Anthem (Album),Give Up,Postal Service,2000
SOKNYPM12A6310E31A,17,Life On Your Own,Hysteria,The Human League,1980
SOKNZBH12A6D4F61C3,2,Avenue Of Hope (Album Version),Gods and Monsters,I Am Kloot,2005
SOKNZGH12A8C142C94,1,Burn The Night Away,A Little Faster,There For Tomorrow,2005
SOKNZOU12A8C134E84,1,L'Etoile Et Le Jardinier,Ouvert A Double Tour,La Rue Kétanou,0
SOKNZYY12AF72A82A2,40,Willie And The Hand Jive,Time Pieces:  The Best Of Eric Clapton,Eric Clapton,1970
SOKOAIH12A8AE45DB4,1,Second Life,Second Life,Gang Of Four,0
SOKOANP12A81C235A1,6,Burguesinha,America Brasil O Disco,Seu Jorge,2005
SOKOAXN12A8C13C92E,19,Hey Jealousy,90's Rock,Gin Blossoms,1985
SOKOBBD12AB0183338,2,Fire In The Head,The Edges Of Twilight,The Tea Party,1995
SOKOBXE12A67ADA4BE,6,Cuckoo For Caca,King For a Day_ Fool For a Lifetime,Faith No More,1995
SOKOCLK12A8C13AEAD,1,Mènage A Trois,Dancefloor Deluxe,Alcazar,0
SOKOCND12A8C133CD4,6,Flacana 12,Flacana Flacana,Melodium,2005
SOKOCPZ12AB0188048,1,Godeba,Ivoir compil_ vol. 10 (Le meilleur de la musique ivoirienne),Meiway,0
SOKODKD12AB0189FEC,4,La vigüela,Gotan Project live,Gotan Project,2005
SOKODYD12A6D4F890A,2,Frosty The Snowman,20th Century Masters: The Christmas Collection: Jackson 5,Jackson 5,1970
SOKOEDX12A6D4FE4AC,6,Eyelids,Visiter,The Dodos,2005
SOKOEJK12A6701CCA2,86,Sol de invierno,Deltoya,Extremoduro,1990
SOKOERH12A8C13CF32,1,Miracle (Album Version),Riot!,Paramore,0
SOKOEZM12AB0180A66,1,Whose Ship Is This?,The Crucial Collection,Look Mexico,2005
SOKOFXH12A6D4F9B32,13,Plans (Replanned by Mogwai),Silent Alarm Remixed,Bloc Party,2005
SOKOGIP12AB0182FCD,2,Adrenaline,Anthem For The Underdog,12 Stones,2005
SOKOHJS12A8C13C44A,1,Wither_ I'm A Flower,Strangers Almanac [Deluxe Edition],Whiskeytown,0
SOKOHVT12A6D4F8DA5,2,Can You Do Without?,Fire On The Bayou,The Meters,1975
SOKOJCJ12AB0187952,1,Book Of Love,Book Of Love,Monotones,0
SOKOJIB12A58A7DC96,1,I Belong To The Skies (Album Version),Your Face Down Now,Hopes Die Last,2005
SOKOJPZ12AB017CFF1,1,Puteiro em João Pessoa II,Raimundos,Raimundos,1990
SOKOJVO12A8C140E91,2,The Spirit Of Giving,Challengers,The New Pornographers,2005
SOKOLAF12AB017BD80,1,It's Not That Easy,Love_ Save The Empty,Erin McCarley,2005
SOKOLXE12A6701E8C7,2,Canciones para el tiempo y la distancia,Canciones para el tiempo y la distancia,Ivan Ferreiro,2005
SOKOMIA12AB017EEB1,3,Love Tattoo,Love Tattoo,Imelda May,2005
SOKOMPC12A8C13ED9F,1,Rat Fink,Collection 2,The Misfits,1975
SOKOMQG12AB0188AB1,2,F*@k You Lucy,God Loves Ugly,Atmosphere,0
SOKOMXC12AB018BA8C,1,Break The Spell,Trans-Continental Hustle,Gogol Bordello,2010
SOKOONU12AB0183625,2,Windmills Of Your Mind,Music From The Thomas Crown Affair,Sting,1995
SOKOPFS12AF72A140E,2,Juice Box featuring Yung Joc (Explicit Album Version),Welcome To The Zoo,Gorilla Zoe featuring Yung Joc,2005
SOKOPJY12A8C13BEB7,4,Yeah,Moby,Moby,1990
SOKOSJU12A8C145EE9,1,Time Is Up (Album),Attack! Attack! UK,Attack! Attack!,0
SOKOSPK12A8C13C088,8,Call It Off (Album Version),The Con,Tegan And Sara,2005
SOKOSRE12A6D4FC213,1,Lon Chaney&#160;,Thing Of The Past,Vetiver,0
SOKOTHU12A6D4F7EF9,6,Cyborg,Dead Cities_ Red Seas & Lost Ghosts,M83,2000
SOKOTYF12A8C13F2E7,12,Too Far Gone,The All-American Rejects,The All-American Rejects,2000
SOKOTZG12A6D4F9519,6,Into The Ocean,Foiled,Blue October,2005
SOKOUCW12AF72A930A,1,A Dream In The Night,The Best Of Clannad,Clannad,1995
SOKOVZK12A6D4F707F,9,FACK,Curtain Call,Eminem,2005
SOKOVZT12AC90716BA,5,Too Many Puppies,They Can't All Be Zingers,Primus,1990
SOKOWGO12A6D4FAB25,9,I'm A Human,Smallville Volume 2 - Metropolis Mix,Flashlight Brown,2005
SOKOWHC12A8C135F1A,1,Plane Song,There Is Nothing,Absynthe Minded,2005
SOKOXDT12A58A7AF41,2,This Is Your Lifesaver,The Ghosts Among Us,Our Last Night,2005
SOKOXWU12AF72AD1BC,234,The Real Slim Shady,Curtain Call,Eminem,2000
SOKOXYF12AB01810BC,1,High,Skalpel,Skalpel,2000
SOKOYWP12AB017C760,3,Detras De Ti,Caifanes Vol. 2,Caifanes,0
SOKPANX12A58A7B64E,1,Stop That Train,New Directions,The Meters,1975
SOKPBLK12A8C137ED3,3,Master Teacher,New Amerykah Part One (4th World War),Erykah Badu,2005
SOKPBQL12A8C134E87,1,Daddy Won't Sell The Farm,Tattoos & Scars,Montgomery Gentry,1995
SOKPCAV12A8C13F611,4,The Way Girls Talk,Hypnotised,The Undertones,1980
SOKPCLY12A8C13A3F1,1,Time Traveller,Time Traveller / Stage Diver / Shop Lifter,John Dahlbäck,2000
SOKPCTW12A6D4F794C,7,Socialist,Metal Box,Public Image Ltd,1985
SOKPDSR12A8C1332A6,1,Wolves In Wolves' Clothing,Wolves In Wolves' Clothing,NOFX,2005
SOKPDYS12A8C13D93A,1,Are U Still Down?,Jon B - Greatest Hits...Are U Still Down?,Jon B,2000
SOKPECC12A8C144E4A,40,All You Ever Wanted,Attack & Release,The Black Keys,2005
SOKPFQB12AB017F62F,1,No Name No. 5,Either Or,Elliott Smith,0
SOKPFTD12A8C13D3AC,5,Expect This_ Get This,Creature Funk,Puppetmastaz,2000
SOKPGMP12A8C138E6F,1,Syndrome,Synthetic Generation,Deathstars,2000
SOKPGQK12A8C135F3B,1,Attitude Gratitude,There Is Nothing,Absynthe Minded,2005
SOKPHDM12A8C1389A4,4,Down To The Market,Konk,The Kooks,2005
SOKPHUB12A58A77293,8,Nobody Does It Better,Clouds In My Coffee 1965-1995,Carly Simon,1975
SOKPKQH12A6701DDE4,16,I Predict A Riot,I Predict A Riot,Kaiser Chiefs,2000
SOKPLCO12A8C140FFF,7,Ferry Cross The Mersey,Broken Hearted - 18 Classic Tearjerkers,Gerry & The Pacemakers,1960
SOKPLJI12A6D4F7FD9,1,A Quoi Ça Sert L'amour ? (Avec Théo Sarapo),Les 100 Plus Belles Chansons D'Edith Piaf,Edith Piaf - Theo Sarapo,0
SOKPLOR12B350555B3,1,Un Autre Introduction,The Private Press,DJ Shadow,2000
SOKPLTI12A6D4FA1D7,1,Kinder Words,Question The Answers,The Mighty Mighty Bosstones,1990
SOKPLXD12A6D4F96B4,3,Just Like Paradise (Album Version),Rhino Hi-Five: Men Who Rock,David Lee Roth,0
SOKPMAM12AB017F443,14,Kick In The Door (Soundtrack Version) (Explicit),NOTORIOUS Music From and Inspired by the Original Motion Picture,Notorious B.I.G.,0
SOKPNAK12A8C135276,1,Where You Gonna Run,The Centenary Collection,Peter Tosh,1980
SOKPNTC12AF72A8184,1,Do You Feel The Same,Neon Ballroom,Silverchair,1995
SOKPODE12A67020A64,2,Keep It On (Album Version),Welcome Back,Mase,0
SOKPOJT12A8C13FBEA,1,Saturday Night,Slither - Music From The Motion Picture,Jane Jensen,0
SOKPPGR12A81C217A7,2,For Today I Am A Boy,For Today I Am A Boy,Antony & The Johnsons,2005
SOKPPTX12A58A7CA1E,4,Daydream,Progression Progressed (The Remixes),Markus Schulz,0
SOKPPXL12A8C14589A,3,Her Voice Resides,The Poison,Bullet For My Valentine,2005
SOKPQHG12AB01858F7,1,Things I Cannot Recall,3 Rounds and a Sound,Blind Pilot,2005
SOKPQHO12A6BD4EFFD,3,Aire (Buleria),Grandes éxitos,José Mercé,2005
SOKPQMB12AB018750B,17,One Day Too Late (Album Version),Awake [Deluxe],Skillet,0
SOKPQQT12A58A7C82E,3,Gigolos Get Lonely Too (LP Version),What Time Is It?,The Time,1980
SOKPRAY12A58A76F96,12,Shelter Me,For Me_ It's You,Train,2005
SOKPRFU12AC4688BA9,3,Moth's Wings,Manners,Passion Pit,2005
SOKPRKG12A6D4F9DDB,1,Daisies And Sandalwood,Me Died Blue,Steven Delopoulos,2000
SOKPSFX12A58A7B5CF,29,Tie Me Down [feat. Ray J] (Amended Album Version),Skinny Jeanz And A Mic,New Boyz,2010
SOKPSGH12AAA15E771,1,Show Me A God,K.O.D.,Tech N9ne,2005
SOKPSPM12A6D4FA057,1,I Feel You,Cuentos Decapitados,Catupecu Machu,2000
SOKPTIC12AB01831AC,1,Woo Boost,Woo Boost,Rusko,2010
SOKPTWH12A8C140706,1,New Toy,This is where the Fight Begins,The Ghost of A Thousand,2005
SOKPUIX12A8C1439E1,1,S. O. S. Tan Fashion (Emergency!),Logo,Kevin Johansen,2005
SOKPUKQ12A8151E072,3,Give It To Me,3 Doors Down,3 Doors Down,2005
SOKPUVG12A58A7AEE3,1,Hold On,4th Dimensional Rocketships Going Up,The Gift of Gab,2000
SOKPUYD12A8C134835,1,Snow On The Sahara,Snow On The Sahara,Anggun,1995
SOKPVYT12AB018E5E6,10,Valencia's Dying Dream,Rocinate,Ester Drang,2005
SOKPVZF12AF72AA4A0,3,Hate (I Really Don't Like You),Every Second Counts,Plain White T's,2005
SOKPWIN12AB018A163,5,Sermon,Sinner,Drowning Pool,1995
SOKPWKZ12AB0182223,21,As I Rise,Her Majesty The Decemberists,The Decemberists,2000
SOKPWXP12AB0189E72,3,Love Vigilantes (Album),Around The Well,Iron And Wine,0
SOKPXGC12A8C136883,5,The Ballad Of Jayne,Cocked & Re-Loaded (Millenium Edition),L.A. Guns,1985
SOKPXOD12AF72A54BF,3,Use Me (LP Version),In With The Old,Pepper,2000
SOKPXOH12A58A78CE7,3,The Tune,Hope & Sorrow,Wax Tailor,2005
SOKPXPV12A8C136AD2,3,La Vie En Rose,At Last,Cyndi Lauper,2000
SOKPYAO12A81C223FA,6,"I Know Where I've Been (""Hairspray"")",Hairspray,Queen Latifah,0
SOKPYML12A8C13CA2E,6,On A Plain,90's Anthems,Nirvana,0
SOKPZAI12A8C1339B4,1,Stars Fell On Alabama,Radio Nights,Cannonball Adderley,1955
SOKPZCQ12AB0184E93,1,Mauer,Politics,Sebastien Tellier,2000
SOKPZFR12A6D4F6D17,6,Cake,The B52's,The B-52's,1980
SOKPZIV12A8C13D69A,1,Shaking Paper,You Are Free,Cat Power,2000
SOKQADT12A8AE47837,2,I Can't Remember,Young Team - Deluxe Edition,Mogwai,2005
SOKQAMH12AB0185D07,3,Techno Widows,Artcore,Astrix,2000
SOKQANE12A81C2085A,1,I.C.E.,Security,Antibalas,2005
SOKQBDZ12AB018019D,6,Spybreak!,Decksandrumsandrockandroll,Propellerheads,1995
SOKQBZU12A58A787DC,3,Fucking Hostile  (LP Version),Vulgar Display Of Power,Pantera,1990
SOKQCMB12A8AE47E4C,4,On Top Of The World,Boys Like Girls,Boys Like Girls,2005
SOKQDGA12A8AE47D53,5,More Than A Woman,Ultimate R&B Love 2009,Aaliyah,2000
SOKQDHF12AC3DFA5AA,1,Linoleum,Linoleum (EP),Pain of Salvation,2005
SOKQDJV12A8C132421,1,Seventeen,Oaklandazulasylum,Why?,0
SOKQEHI12A8C139C05,2,Just Got Lucky,Essential Boxerbeat,Jo Boxers,1980
SOKQFLU12AB01820E1,1,Bright Tomorrow,Street Horrrsing,Fuck Buttons,2005
SOKQFPM12A67AE0D68,3,Get Out,Big,Macy Gray / Justin Timberlake,2005
SOKQGOD12AAF3B3A28,1,Merengue,Merengue,Robert Abigail featuring Dj Rebel,0
SOKQGRH12A58A7BC39,12,Guarded (Album Version),Guarded,Disturbed,2005
SOKQHXH12A6D4FB4AC,1,Heart Full Of Wine,Heart Full of Wine,Angus & Julia Stone,2005
SOKQHXV12AB0185B3D,1,Bérangère's Nightmare,'Round Midnight - Original Motion Picture Soundtrack,Herbie Hancock,1985
SOKQHYW12A6D4F85FF,2,Sprengkörper,Näher Am Menschen,Mediengruppe Telekommander,2005
SOKQIHY12A58A7BE6E,1,Cissy Strut,Rhino Hi-Five:  The Meters,The Meters,1965
SOKQITA12AF729DF18,3,Steer Me Right,Gospel Roots - Holiday Edition,Aaron Neville,2000
SOKQJDI12AB0182A93,13,Cry Me Out,Turn it Up,Pixie Lott,2005
SOKQJSY12A670203D5,1,Case Closed,Muddy Waters,Redman,1995
SOKQKNS12AB017F1A5,1,House In The Woods (Album Version),Wildflowers,Tom Petty,1990
SOKQLHZ12A8AE46635,2,The Star Of A Story,Central Heating,Heatwave,1975
SOKQLLN12A6D4F938E,10,Vete,Vete,Lucybell,1995
SOKQLQE12A8C13BB78,4,Fallen,En Concierto - La Noche,Presuntos Implicados,2005
SOKQLTX12A6D4F9EF8,3,Crazy In Love,Up To Now,Snow Patrol,2005
SOKQMAI12A6D4FAC0D,1,people_ the vehicles,We_ the Vehicles,Maritime,0
SOKQMGG12A8C143B7C,9,Pjanoo,The Chilled House Session,Eric Prydz,2005
SOKQMIV12AB0187CF6,4,Dear Meghan (Album Version),Common Struggles,Single File,2005
SOKQMNB12A6D4F74FD,2,I Could Have Lied (Album Version),Blood Sugar Sex Magik,Red Hot Chili Peppers,1990
SOKQMOW12A6701DEFC,2,Electric Church Red House,Blues,Jimi Hendrix,1990
SOKQMRB12A8C142C54,1,Soitellaan,Kasvukipuja,Cheek,0
SOKQNYH12A6D4FA5D3,6,Respect (Amended Version),Ready To Die The Remaster,The Notorious B.I.G.,0
SOKQOIY12A8C1416D9,1,On Top Of The World (Album Version),Down To Earth,Jem,2005
SOKQOJW12A8C137222,3,Les Miens,Où Je Vis,Shurik'n,1995
SOKQOKZ12A6D4FCCF0,6,Dust To Dust (LP Version),Welcome To The Ball,Vicious Rumors,1990
SOKQOSM12A6310E1C9,1,Drug Lord,Size Matters,Helmet,2000
SOKQPQI12A58A7AD25,2,Master Of The Wind  (LP Version),The Triumph Of Steel,Manowar,1990
SOKQPSS12A8C136B9F,2,May It Be,Celtic Woman,Celtic Woman,2005
SOKQPYO12A6702134B,1,I Don't Even Know Myself,Who's Next,The Who,1995
SOKQQDI12A6D4F783E,1,Until I Met You (First Version),Music For Lovers,COUNT BASIE & SARAH VAUGHAN,0
SOKQQTU12A6D4F8A0D,1,Wax And Wane (Remastered Version),B-Sides & Rarities,Deftones,2005
SOKQRMK12A8C134E85,2,Ich denk an...,Es wird Morgen,2raumwohnung,2000
SOKQRQO12A6D4F870F,2,Miles Away,Maps,Yeah Yeah Yeahs,2000
SOKQRWG12A6D4FB7DB,3,Big Poppa (Explicit Album Version),Greatest Hits,The Notorious B.I.G.,2005
SOKQRXI12A6D4F6C8D,1,Play That Funky Music,To The Extreme,Vanilla Ice,1985
SOKQSAI12A6D4F7D2C,11,Another Town,Begin To Hope,Regina Spektor,2005
SOKQTHF12B0B80B306,6,Virginia Moon,In Your Honour,Foo Fighters,2005
SOKQTJK12A8C13C694,7,Don't Ride That Horse,Big Iron World,Old Crow Medicine Show,2005
SOKQTWZ12AB0187344,1,Eye On You,v 2.0 evil gets an upgrade,Agonoize,2000
SOKQUEM12AB0187198,10,The Man I Want To Be,The Man I Want To Be,Chris Young,0
SOKQUUY12A58A7AB69,5,Already Gone,The Atlantic Ocean,Richard Swift,2005
SOKQUZR12A6D4FCA80,1,Vuelve A Mí,Música Y Delirio,Emmanuel Horvilleur,2000
SOKQVNZ12AB01813C7,3,Askew,Deadpan,Spetsnaz,2005
SOKQXPC12A58A7E9B1,1,Nightmare (Sinister Strings Mix),Positiva Presents Essential Club Anthems,Brainbug,1995
SOKQXRZ12A8C14348F,2,Sugar In The Sacrament,A City By The Light Divided,Thursday,2005
SOKQXXT12A8C13BEEB,1,Tilting At Windmills,Where'd You Learn To Kiss That Way?,The Field Mice,1990
SOKQYVG12A58A75445,8,Wayfaring Stranger,Cold On The Shoulder,Tony Rice,2005
SOKQZBT12A6D4F8C1C,1,I'm Around (Album Version),Inside Of Emptiness,John Frusciante,2000
SOKQZIU12AB01831CC,5,Your Head Here,Goodnight Oslo,Robyn Hitchcock_ The Venus 3,2005
SOKQZYZ12A58A7767E,38,Ocean Avenue,Ocean Avenue,Yellowcard,2000
SOKQZZX12A6D4F7B0A,1,The American Dream,The Good Times,Afroman,2000
SOKRACG12A8C1438AC,9,Innocent When You Dream (78),Franks Wild Years,Tom Waits,1985
SOKRAHU12A6D4F885D,1,Me And My Baby,That's Right,Benny Green,1990
SOKRAHZ12A8C13F438,4,Ddiamondd,Mirrored,Battles,2005
SOKRAMY12A8C140804,48,Baker's Blue Jay Yarn,Am Deister,Dakota Oak,0
SOKRBNE12AB01803EB,5,New paradise(bukkake remix),Cyberwarmachine,Scorngrain,2000
SOKRCKF12A8C13A76B,3,I Still Love You,Redlight,The Slackers,1995
SOKRDBG12A81C2179B,16,Superfresh,Oi Oi oi,Boys Noize,2005
SOKRDMX12A58A80303,1,Diagnosis Terminal,The Incurable Tragedy,Into Eternity,2005
SOKRDOK12A8AE47D4E,12,One In A Million,Ultimate R&B 2007,Aaliyah,1995
SOKRDQI12A8C13C14F,4,Express,Todo Saiko,Saiko,0
SOKRDTZ12A6D4FC72C,13,Stuck In A Rut,Permission To Land,The Darkness,2000
SOKREBH12AB017A2DE,2,Tubby ROM Module,Foundation Bit,Disrupt,2005
SOKREGF12AB0182547,2,Hang You From The Heavens,Horehound,The Dead Weather,2005
SOKREIG12A6D4F7EEE,1,Heart Of Me,All Things To All People,Carpark North,2005
SOKREMX12A8C13B0D3,12,Erhebet Eure Herzen,A Mass Of Life/Songs Of Sunset/An Arabesque,Sir Charles Groves/ Royal Liverpool PH,0
SOKREXM12AB017E4D2,3,Love you to death,Ghost opera,Kamelot,0
SOKRFEJ12AAF3B15AD,8,Whiskey_ You're the Devil,Best Of The Vanguard Years,The Clancy Brothers,0
SOKRFLI12A8C13936B,2,Johnny Appleseed,White Trash ......,NOFX,1990
SOKRFTC12A8C13FE20,1,Rubies,Destroyer's Rubies,Destroyer,0
SOKRFXB12A58A7A585,12,Where Have All The Cowboys Gone? (Album Version),This Fire,PAULA COLE,1995
SOKRGEN12B0B80AF63,9,Resolution,The Richest Man In Babylon,Thievery Corporation,2000
SOKRGWT12A8C13BE75,82,Fuck U Up (Kan Cold RMX),Fuck U Up,Overdog,0
SOKRHGU12A8C13C157,3,Mind Of The Wonderful,The Singles,Blank & Jones,2000
SOKRHLS12A8C13F32A,1,All I Know,Twenty Three Places,Matt Wertz,2000
SOKRHRG12A6D4F9ECB,1,Sky Phenomenon,Oh You're So Silent_ Jens,Jens Lekman,2000
SOKRIGD12A6310DBD4,1,She Floats,Harmonium,Vanessa Carlton,2000
SOKRIGK12A8C1397B4,1,Falling To Pieces,Secrets On Parade,Tim Christensen,2000
SOKRIJB12A6D4F990A,7,Frankly_ Mr. Shankly,The Queen Is Dead,The Smiths,1985
SOKRIMP12A6D4F5DA3,40,I?'m A Steady Rollin? Man,Diggin' Deeper Volume 7,Robert Johnson,0
SOKRISY12A8C139E35,1,Michele 'O Pazzo E' Pazzo Davvero,Sotto I Cieli Di Rino,Rino Gaetano,0
SOKRJDU12A8C137AAC,1,My Life's Been A Country Song,My Life's Been A Country Song,Chris Cagle,2005
SOKRJDW12A58A7F538,2,Classic,Full Circle,Hieroglyphics,2000
SOKRJPI12AB0186733,2,You Burn First,Crisis,Alexisonfire,2005
SOKRJVR12A6D4F6152,2,Buck Rogers,Echo Park,Feeder,2000
SOKRJWO12A8C1342DD,1,Disappointed,Archetype,Tonedeff,0
SOKRLDQ12A8AE46408,1,Zé Do Caroço,Ana E Jorge,Seu Jorge,0
SOKRLQZ12A8C13D997,2,The Good Song,XXX: State Of The Union,Tonéx,2005
SOKRMJR12AC468DC20,2,Yaraví y Huayno (instrumental),A Palau,Quilapayún,0
SOKRNEV12AB01899B8,2,Lonely Cold,Street Bangerz Vol. 2,Gramatik,2005
SOKRNQT12A6D4F8862,1,Please_ Please_ Please,The Complete Stevie Wonder,Stevie Wonder,0
SOKROEE12A6D4FB03C,2,Pushin' Forward Back,Temple Of The Dog,Temple Of The Dog,1990
SOKROEY12AB0188B54,1,Graveyard Tree Zero,Forever For Hire,Koffin Kats,2005
SOKRONT12A679D8AEF,2,Half,Superunknown,Soundgarden,1990
